/tmp/10m_aa.txt
  MUT     time    0.159s  (  0.159s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.161s  (  0.161s elapsed)
  MUT     time    0.149s  (  0.149s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.151s  (  0.151s elapsed)
  MUT     time    0.145s  (  0.145s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.147s  (  0.147s elapsed)
  MUT     time    0.151s  (  0.151s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.152s  (  0.152s elapsed)
  MUT     time    0.151s  (  0.151s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.153s  (  0.153s elapsed)
  MUT     time    0.146s  (  0.145s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.147s  (  0.147s elapsed)
  MUT     time    0.161s  (  0.161s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.162s  (  0.162s elapsed)
  MUT     time    0.152s  (  0.152s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.154s  (  0.154s elapsed)
  MUT     time    0.147s  (  0.147s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.148s  (  0.148s elapsed)
  MUT     time    0.145s  (  0.145s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.147s  (  0.147s elapsed)
/tmp/10m_aaz.txt
  MUT     time    0.116s  (  0.116s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.118s  (  0.118s elapsed)
  MUT     time    0.114s  (  0.114s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.116s  (  0.116s elapsed)
  MUT     time    0.113s  (  0.113s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.115s  (  0.115s elapsed)
  MUT     time    0.113s  (  0.113s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.115s  (  0.115s elapsed)
  MUT     time    0.115s  (  0.115s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.117s  (  0.117s elapsed)
  MUT     time    0.121s  (  0.121s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.123s  (  0.123s elapsed)
  MUT     time    0.120s  (  0.120s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.122s  (  0.122s elapsed)
  MUT     time    0.115s  (  0.115s elapsed)
  GC      time    0.000s  (  0.000s elapsed)
  Total   time    0.117s  (  0.117s elapsed)
